mnemonic,item_code,item_name,confidentiality,item_type,description
CEXA,4252,AMOUNT OF NET LOCAL COUNTRY CLAIMS (INCLUDING DERIVATIVE PRODUCTS),N,F,Includes the total amount of net local country claims on local residents from the FFIEC 009 report; Local Country Claims (Column 18 of Schedule 1 (item 8593) and Column 6 of Schedule 2 (item A339)) less Local Country Liabilities (Column 19 of Schedule 1 (item 8594) and Column 7 of Schedule 2 (item A340)); if the difference is positive (does not include if the difference is negative). NOTE: Reported in Part A for the FFIEC 009a report.
CEXA,4253,AMOUNT OF CROSS-BORDER CLAIMS OUTSTANDING FROM DERIVATIVE PRODUCTS AFTER MANDATED ADJUSTMENTS FOR TRANSFER OF EXPOSURE,N,F,Includes the total amount of cross-border claims from derivative products from the FFIEC 009 report; Column 4 (item A337); Schedule 2. NOTE: Reported in Part A for the FFIEC 009a report.
CEXA,4254,ADJUSTED CROSS-BORDER AND FOREIGN OFFICE LOCAL COUNTRY CLAIMS,N,F,Includes the total of Column 1 (item 5215) plus Column 2 (item 4252) plus Column 3 (item 4253). NOTE: Reported in Part A for the FFIEC 009a report.
CEXA,5215,AMOUNT OF CROSS-BORDER CLAIMS OUTSTANDING AFTER MANDATED ADJUSTMENTS FOR TRANSFER OF EXPOSURE (EXCLUDING DERIVATIVE PRODUCTS),N,F,For each country reported in the FFIEC 009(a) report; includes the sum of the following items from Schedule 1 of the FFIEC 009 report: column 4 (item 8580) less columns 8; 9; 10 (items 8586; 8587; and 8588); plus columns 11; 12; 13 (items 8590; 8591; and 8592). NOTE: Reported in Part A for the FFIEC 009a report. COMPARABILITY: Prior to 3/31/97; includes the sum of the following items from the FFIEC 009 report: column 4 less column 10; column 11; column 12; (plus column 14; column 15; column 16; 
CEXA,5216,AMOUNT OF NET LOCAL CURRENCY CLAIMS INCLUDED IN ITEM 5215,N,F,Includes the total amount of net local currency claims on local residents included in 'Claims Outstanding After Mandated Adjustments For Transfer Of Exposure (5215)' (i.e.; column 17 minus column 18 of the FFIEC 009 report; only if positive). NOTE: Reported in Part A for the FFIEC 009a report.
CEXA,5217,TOTAL OF CLAIMS OUTSTANDING AFTER MANDATED ADJUSTMENTS FOR TRANSFER OF EXPOSURE (5215) MINUS AMOUNT OF NET LOCAL CURRENCY CLAIMS INCLUDED IN ITEM 5215 (5216),N,F,Includes the total of 'Claims Outstanding After Mandated Adjustments For Transfer Of Exposure (5215)' minus 'Amount Of Net Local Currency Claims Included In Item 5215 (5216)'. NOTE: Reported in Part A for the FFIEC 009a report.
CEXA,5218,DISTRIBUTION OF AMOUNT IN ITEM 5215 BY BANKS,N,F,Includes the distributed amount in item 5215 by banks. The term 'bank' covers the following institutions in foreign countries: commercial banks; savings banks; discount houses; and other similar institutions accepting short term deposits. It includes banking institutions owned by foreign governments unless such institutions function as central banks or banks of issue. (The latter are shown as 'public' borrowers.) Also includes the foreign branches of other U.S. commercial banks. The definition o
CEXA,5219,DISTRIBUTION OF AMOUNT IN ITEM 5215 BY PUBLIC SECTOR ENTITIES,N,F,Includes the distributed amount in item 5215 by public sector entities. The term 'public' covers the following foreign institutions: central governments and departments of central governments of foreign countries and their possessions; foreign central banks; stabilization funds; exchange authorities; and government-owned banks that perform the functions of a central bank or a bank of issue; corporations and other agencies of central governments; including development banks; development instituti
CEXA,5220,DISTRIBUTION OF AMOUNT IN ITEM 5215 BY OTHERS,N,F,Includes the distributed amount in item 5215 by others. 'All other borrowers' covers claims on persons; businesses; and institutions other than 'banks' and 'public borrowers' defined in items 5218 and 5219. NOTE: Reported in Part A for the FFIEC 009a report. COMPARABILITY: Prior to 3/31/97; included the distributed amount in item 5217.
CEXA,5221,DISTRIBUTION OF AMOUNT IN ITEM 5215 WITH TIME REMAINING TO MATURITY OF ONE YEAR AND UNDER,N,F,Includes the distributed amount in item 5215 with a time remaining to maturity of one year and under. NOTE: Reported in Part A for the FFIEC 009a report. COMPARABILITY: Prior to 3/31/97; included the distributed amount in item 5217.
CEXA,5222,DISTRIBUTION OF AMOUNT IN ITEM 5215 WITH TIME REMAINING TO MATURITY OF OVER ONE YEAR,N,F,Includes the distributed amount in item 5215 with a time remaining to maturity of over one year. NOTE: Reported in Part A for the FFIEC 009a report. COMPARABILITY: Prior to 3/31/97; included the distributed amount in item 5217.
CEXA,5223,TOTAL AMOUNT OF EXPOSURE TO ALL OF THE COUNTRIES LISTED IN PART B,N,F,Includes the total amount of exposure to all of the countries listed in Part B. Provided is the name of each country not listed in Part A where the institution has exposure; as defined in item 4254 of Part A; that exceeds 0.75 percent but does not exceed 1 percent of the reporting institution's assets or is between 15 percent and 20 percent of its total capital; whichever is less. NOTE: Reported in Part B for the FFIEC 009a report.
CEXA,5224,OPTIONAL MANAGEMENT STATEMENT CONCERNING THE COUNTRY RISK INFORMATION REPORTED ON FFIEC 009A,N,F,The management of the reporting institution may; if it wishes; submit a brief statement concerning the data submitted on this report. This statement may be used by management to explain any differences between the information contained in this report and information filed with the Securities and Exchange Commission pursuant to U.S. securities laws; or to provide any other information concerning the data that management believes would further public understanding of the reporting institution's co
CEXA,8798,FDR TIME STAMP,N,F,Effective 10/24/2011; the FR 2572 information collection was transferred to the Consumer Financial Protection Bureau (CFPB); removing it from the Board's OMB inventory and adding it to the CFPB's under control number 3170-0001 The date and time the data were last updated. This item is derived in Proc FDR and is not stored on the FDR tables. Format: CCYYMMDD.HHMMSS NOTE: Before the FDR system this number was on the Archival File under the mnemonic ARCH.
CEXA,8799,ARCHIVAL DATE STAMP,N,F,The date (ccyymmdd) the data were last updated on the Archival. NOTE: This number is on the Archival File under the Mnemonic ARCH.
CEXA,8901,NAME OF PERSON QUESTIONS ARE DIRECTED,Y,F,Effective 10/24/2011; the FR 2572 information collection was transferred to the Consumer Financial Protection Bureau (CFPB); removing it from the Board's OMB inventory and adding it to the CFPB's under control number 3170-0001 Transmitted as TEXT. NOTE: For series TEXT; reported as confidential for the reporting period 3/31/88 thru 12/31/00. ESOP8901 will be collected at the Reserve Bank. ESOP8901 will not be added to the Board FDR ESOP database tables.
CEXA,8902,AREA CODE/PHONE NUMBER OF PERSON WHOM QUESTIONS ABOUT THIS REPORT SHOULD BE DIRECTED,Y,F,Effective 10/24/2011; the FR 2572 information collection was transferred to the Consumer Financial Protection Bureau (CFPB); removing it from the Board's OMB inventory and adding it to the CFPB's under control number 3170-0001 Transmitted as TEXT. NOTE: For series TEXT; reported as confidential for the reporting period 3/31/88 thru 12/31/00. ESOP8902 will be collected at the Reserve Bank. ESOP8902 will not be added to the Board FDR ESOP database tables.
CEXA,9017,LEGAL NAME,Y,F,Effective 10/24/2011; the FR 2572 information collection was transferred to the Consumer Financial Protection Bureau (CFPB); removing it from the Board's OMB inventory and adding it to the CFPB's under control number 3170-0001 The legal name as found on the charter or formation document of the entity. Names that have articles such as 'The' or 'A' as the first word should be stored with the article at the end of the name proceeded by a comma. For branches; only the branch portion of the name is s
CEXA,9130,CITY/TOWN TEXT NAME,Y,F,The name of the city or town in which the entity is physically located. 0 = Not applicable (individuals and pseudo entities) NOTE: For 'SURV' and 'SURH'; reported in the DB2 table from a SAS file. For 'SECF'; received from SEC on data file. For QFCS collected from survey. CCAM - The city in which the property is located. Contributors should be careful to provide the property city (not the mailing state of the borrower) CCAX - Normalized using commercial address standardization software CLCO - Th
CEXA,9191,PROCESSING DISTRICT,N,S,Effective 10/24/2011; the FR 2572 information collection was transferred to the Consumer Financial Protection Bureau (CFPB); removing it from the Board's OMB inventory and adding it to the CFPB's under control number 3170-0001 The processing district indicates the Reserve Bank district that processed the data. The values are defined as follows: 01 Boston 02 New York 03 Philadelphia 04 Cleveland 05 Richmond 06 Atlanta 07 Chicago 08 St. Louis 09 Minneapolis 10 Kansas City 11 Dallas 12 San Francisc
CEXA,9200,ABBREVIATED STATE NAME,Y,F,Two character state abbreviation as assigned to a state or territory. Source: FIPS 5-2. AK Alaska AL Alabama AR Arkansas AS American Samoa AZ Arizona CA California CO Colorado CT Connecticut DC Dist of Columbia DE Delaware FL Florida FM Federated States of Micronesia GA Georgia GU Guam HI Hawaii IA Iowa ID Idaho IL Illinois IN Indiana KS Kansas KY Kentucky LA Louisiana MA Massachusetts MD Maryland ME Maine MH Marshall Islands MI Michigan MN Minnesota MO Missouri MP Northern Mariana Islands MS Mi
CEXA,9201,NAME OF 1ST COUNTRY WHERE EXPOSURE MEETS THE REPORTING CRITERIA STATED FOR PART B,N,S,Name of the 1st country where exposure meets the reporting crieria stated for part B.
CEXA,9202,NAME OF 2ND COUNTRY WHERE EXPOSURE MEETS THE REPORTING CRITERIA STATED FOR PART B,N,S,Name of 2nd country where exposure meets the reporting criteria stated for part B.
CEXA,9203,COUNTRY GROUP CODE,N,S,The country code that identifies a country grouping. It must be a pre-existing country code (CNTRY_CD RSSD9204). NOTE: Reported for the FFIEC 002s (CRCB) report.
CEXA,9204,COUNTRY GROUP NAME,N,S,The name of the country that corresponds to 'Country Group Code' item no. 9203.
CEXA,9205,NAME OF 5TH COUNTRY WHERE EXPOSURE MEETS THE REPORTING CRITERIA STATED FOR PART B,N,S,Name of 5th country where exposure meets the reporting criteria stated for part B.
