line_number,column,item_description,mdrm,start_date,end_date,notes
1.a,-,"Revolving, open-end loans secured by 1-4 family residential properties (e.g., home equity lines)",BHCK3814,1990-09-30,9999-12-31,Unused commitments
1.b.(1),-,Unused consumer credit card lines,BHCKJ455,2010-03-31,9999-12-31,
1.b.(2),-,Other unused credit card lines,BHCKJ456,2010-03-31,9999-12-31,
1.c.(1),-,"Commitments to fund CRE, construction, and land development loans secured by real estate",BHCK3816,1990-09-30,9999-12-31,=sum 1.c.(1)(a)+(b)
1.c.(1)(a),-,1-4 family residential construction loan commitments,BHCKF164,2007-03-31,9999-12-31,
1.c.(1)(b),-,"CRE, other construction, and land development loan commitments",BHCKF165,2007-03-31,9999-12-31,
1.c.(2),-,"Commitments to fund CRE, construction, and land development loans NOT secured by real estate",BHCK6550,1995-03-31,9999-12-31,
1.d,-,Securities underwriting,BHCK3817,1990-09-30,9999-12-31,
1.e.(1),-,Other unused commitments - Commercial and industrial loans,BHCKJ457,2010-03-31,9999-12-31,
1.e.(2),-,Other unused commitments - Loans to depository financial institutions,BHCKPV10,2026-03-31,9999-12-31,Added 2026Q1
1.e.(3),-,Other unused commitments - Loans to nondepository financial institutions,BHCKPV11,2026-03-31,9999-12-31,Added 2026Q1; =sum (a)-(e)
1.e.(3)(a),-,Loans to mortgage credit intermediaries,BHCKPV12,2026-03-31,9999-12-31,Added 2026Q1
1.e.(3)(b),-,Loans to business credit intermediaries,BHCKPV13,2026-03-31,9999-12-31,Added 2026Q1
1.e.(3)(c),-,Loans to private equity funds,BHCKPV14,2026-03-31,9999-12-31,Added 2026Q1
1.e.(3)(d),-,Loans to consumer credit intermediaries,BHCKPV15,2026-03-31,9999-12-31,Added 2026Q1
1.e.(3)(e),-,Other loans to nondepository financial institutions,BHCKPV16,2026-03-31,9999-12-31,Added 2026Q1
1.e.(4),-,All other unused commitments,BHCKJ459,2010-03-31,9999-12-31,
2,-,Financial standby letters of credit and foreign office guarantees,BHCK6566,1990-09-30,9999-12-31,
2.a,-,Amount of financial standby letters of credit conveyed to others,BHCK3820,1990-09-30,9999-12-31,
3,-,Performance standby letters of credit and foreign office guarantees,BHCK6570,1990-09-30,9999-12-31,
3.a,-,Amount of performance standby letters of credit conveyed to others,BHCK3822,1990-09-30,9999-12-31,
4,-,Commercial and similar letters of credit,BHCK3411,1990-09-30,9999-12-31,
5,-,Not applicable,-,-,-,Not applicable on current form
6.a,-,Securities lent,BHCK3433,1990-09-30,9999-12-31,
6.b,-,Securities borrowed,BHCK3432,1990-09-30,9999-12-31,
