parent_schedule,parent_item,parent_mdrm,child_schedule,child_item,child_mdrm,relationship,level,notes
# ============================================================================
# SCHEDULE COMPONENT HIERARCHY - Complete Parent-Child Relationships
# Version: 1.0 | Created: 2026-01-29
# Purpose: Explicit hierarchical relationships for all FR Y-9C schedules
# ============================================================================

# ----------------------------------------------------------------------------
# HC BALANCE SHEET TO DETAIL SCHEDULE MAPPINGS (Level 1)
# ----------------------------------------------------------------------------
HC,1,BHCK0010,HC,1.a,BHCK0081,sum_component,2,
HC,1,BHCK0010,HC,1.b,BHCK0395,sum_component,2,
HC,2,BHCT8641,HC-B,8,BHCT8641,equals,1,UNVERIFIED: BHCT8641 has no current MDRM equivalent; HC line 2 securities is a caption (=2.a BHCKJJ34 + 2.b BHCT1773 + 2.c BHCKJA22)
HC,2.a,BHCKJJ34,HC-B,8 Col C,BHCT1754,equals,1,
HC,2.b,BHCT1773,HC-B,8 Col B,BHCT1773,equals,1,
HC,2.c,BHCKJA22,HC-B,M5,BHCKJA22,equals,1,
HC,3,BHCKC225,HC,3.a,BHCKB987,sum_component,2,
HC,3,BHCKC225,HC,3.b,BHCKB989,sum_component,2,
HC,4,BHCT2122,HC-C,Total,BHCTB528,derived,1,
HC,4.a,BHCT5369,HC-C,10,BHCT5369,equals,1,
HC,4.b,BHCTB528,HC-C,12,BHCTB528,equals,1,
HC,4.c,BHCT3123,HC-C,11,BHCT3123,equals,1,
HC,5,BHCT3545,HC-D,12,BHCT3545,equals,1,
HC,6,BHCK2145,HC-F,6,BHCK2145,equals,1,
HC,7,BHCT2150,HC-F,7,BHCT2150,equals,1,
HC,8,BHCK2130,HC-F,8,BHCK2130,equals,1,
HC,9,BHCK3656,HC-F,9,BHCK3656,equals,1,
HC,10,BHCT2143,HC,10.a,BHCK3163,sum_component,2,
HC,10,BHCT2143,HC,10.b,BHCK0426,sum_component,2,
HC,10.a,BHCK3163,HC-F,10.a,BHCK3163,equals,1,
HC,10.b,BHCK0426,HC-F,10.b,BHCK0426,equals,1,
HC,11,BHCT2160,HC-F,12,BHCT2160,equals,1,
HC,13,BHCT2200,HC,13.a,BHCM2200,sum_component,2,UNVERIFIED: BHCM2200 not in MDRM; no consolidated domestic-deposits-total code (=BHDM6631 + BHDM6636)
HC,13,BHCT2200,HC,13.b,BHCKB536,sum_component,2,UNVERIFIED: BHCKB536 not in MDRM; foreign-deposits-total is a caption (=13.b.(1) + 13.b.(2))
HC,13.a,BHCM2200,HC,13.a.(1),BHDM6631,sum_component,3,UNVERIFIED: BHCM2200 not in MDRM; no consolidated domestic-deposits-total code (=BHDM6631 + BHDM6636)
HC,13.a,BHCM2200,HC,13.a.(2),BHDM6636,sum_component,3,UNVERIFIED: BHCM2200 not in MDRM; no consolidated domestic-deposits-total code (=BHDM6631 + BHDM6636)
HC,13.b,BHCKB536,HC,13.b.(1),BHFN6631,sum_component,3,UNVERIFIED: BHCKB536 not in MDRM; foreign-deposits-total is a caption (=13.b.(1) + 13.b.(2))
HC,13.b,BHCKB536,HC,13.b.(2),BHCKB538,sum_component,3,UNVERIFIED: BHCKB536 not in MDRM; foreign-deposits-total is a caption (=13.b.(1) + 13.b.(2))
HC,14,BHCK2800,HC,14.a,BHCKB993,sum_component,2,
HC,14,BHCK2800,HC,14.b,BHCKB995,sum_component,2,
HC,15,BHCT3548,HC-D,15,BHCT3548,equals,1,
HC,20,BHCK2750,HC-G,5,BHCK2750,equals,1,
HC,28,BHCK3210,HC-R,19,BHCAP859,related,1,standardized to consolidated BHCK3210

# ----------------------------------------------------------------------------
# HC-B SECURITIES HIERARCHY (AFS and HTM Components)
# ----------------------------------------------------------------------------
HC-B,8 Col B,BHCT1773,HC-B,1 AFS FV,BHCK1287,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,2 AFS FV,BHCKJF78,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,3.a AFS FV,BHCKG301,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,3.b AFS FV,BHCKG309,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,3.c AFS FV,BHCKG317,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,4.a AFS FV,BHCKK143,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,4.b AFS FV,BHCKK151,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,5 AFS FV,BHCKC027,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,6.a AFS FV,BHCK1741,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,6.b AFS FV,BHCK1746,sum_component,2,
HC-B,8 Col B,BHCT1773,HC-B,7 AFS FV,BHCK8497,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,1 HTM AC,BHCK0211,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,2 HTM AC,BHCK1289,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,3.a HTM AC,BHCKG303,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,3.b HTM AC,BHCKG311,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,3.c HTM AC,BHCKG319,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,4.a HTM AC,BHCKK145,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,4.b HTM AC,BHCKK153,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,5 HTM AC,BHCK1737,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,6.a HTM AC,BHCK1742,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,6.b HTM AC,BHCK1747,sum_component,2,
HC-B,8 Col C,BHCT1754,HC-B,7 HTM AC,BHCK8498,sum_component,2,
HC-B,5 AFS,BHCKC027,HC-B,5.a AFS,BHCKB839,sum_component,3,
HC-B,5 AFS,BHCKC027,HC-B,5.b AFS,BHCKB843,sum_component,3,
HC-B,5 AFS,BHCKC027,HC-B,5.c AFS,BHCKB847,sum_component,3,
HC-B,5 AFS,BHCKC027,HC-B,5.d AFS,BHCKB851,sum_component,3,
HC-B,5 AFS,BHCKC027,HC-B,5.e AFS,BHCKB855,sum_component,3,
HC-B,5 AFS,BHCKC027,HC-B,5.f AFS,BHCKB859,sum_component,3,
HC-B,M5,BHCKJA22,HC-B,M5.a,BHCKJJ33,sum_component,2,
HC-B,M5,BHCKJA22,HC-B,M5.b,BHCKJJ35,sum_component,2,UNVERIFIED: BHCKJJ35 not in MDRM; no HC-B equity-securities-other split code

# ----------------------------------------------------------------------------
# HC-C LOANS HIERARCHY (Loan Portfolio Components)
# ----------------------------------------------------------------------------
HC-C,12,BHCKB529,HC-C,1,BHCK1410,sum_component,2,
HC-C,12,BHCKB529,HC-C,2,BHCK1288,sum_component,2,
HC-C,12,BHCKB529,HC-C,3,BHCK1590,sum_component,2,
HC-C,12,BHCKB529,HC-C,4,BHCK1766,sum_component,2,
HC-C,12,BHCKB529,HC-C,5,BHCK1975,sum_component,2,
HC-C,12,BHCKB529,HC-C,6,BHCK1296,sum_component,2,
HC-C,12,BHCKB529,HC-C,7,BHCT1709,sum_component,2,UNVERIFIED: BHCT1709 not in MDRM; obligations of states/pol-subdiv loans have no consolidated BHCK code (Call RCON2107 only)
HC-C,12,BHCKB529,HC-C,8,BHCK1563,sum_component,2,
HC-C,12,BHCKB529,HC-C,9,BHCK2165,sum_component,2,
HC-C,12,BHCKB529,HC-C,10,BHCT5369,deduction,2,
HC-C,12,BHCKB529,HC-C,11,BHCT3123,deduction,2,
HC-C,1,BHCK1410,HC-C,1.a,BHCK1415,sum_component,3,
HC-C,1,BHCK1410,HC-C,1.b,BHCK1420,sum_component,3,
HC-C,1,BHCK1410,HC-C,1.c,BHCK1797,sum_component,3,
HC-C,1,BHCK1410,HC-C,1.d,BHCT5367,sum_component,3,UNVERIFIED: BHCT5367 not in MDRM; closed-end 1-4 family subtotal has no consolidated code (=BHCK5367 first + BHCK5368 junior)
HC-C,1,BHCK1410,HC-C,1.e,BHCK1460,sum_component,3,
